idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
1,title,,,text-classification,6,,,,0,0.0,0,0.0,0,0.0,1,0,
2,Universal Sentence Encoder,title,,text-classification,6,"['B', 'I', 'I']","['B-n', 'I-n', 'I-n']","['B-ob', 'I-ob', 'I-ob']",1,0.0,1,0.006756756756756757,1,0.0,1,1,research-problem
3,abstract,,,text-classification,6,,,,0,0.0,2,0.013513513513513514,0,0.0,1,0,
4,We present models for encoding sentences into embedding vectors that specifically target transfer learning to other NLP tasks .,abstract,abstract,text-classification,6,"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O']",1,0.1111111111111111,3,0.02027027027027027,1,0.1111111111111111,1,1,research-problem
5,The models are efficient and result in accurate performance on diverse transfer tasks .,abstract,abstract,text-classification,6,,,,2,0.2222222222222222,4,0.02702702702702703,2,0.2222222222222222,1,0,
6,Two variants of the encoding models allow for trade - offs between accuracy and compute resources .,abstract,abstract,text-classification,6,,,,3,0.3333333333333333,5,0.033783783783783786,3,0.3333333333333333,1,0,
7,"For both variants , we investigate and report the relationship between model complexity , resource consumption , the availability of transfer task training data , and task performance .",abstract,abstract,text-classification,6,,,,4,0.4444444444444444,6,0.04054054054054054,4,0.4444444444444444,1,0,
8,Comparisons are made with baselines that use word level transfer learning via pretrained word embeddings as well as baselines do not use any transfer learning .,abstract,abstract,text-classification,6,,,,5,0.5555555555555556,7,0.0472972972972973,5,0.5555555555555556,1,0,
9,We find that transfer learning using sentence embeddings tends to outperform word level transfer .,abstract,abstract,text-classification,6,"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",6,0.6666666666666666,8,0.05405405405405406,6,0.6666666666666666,1,1,research-problem
10,"With transfer learning via sentence embeddings , we observe surprisingly good performance with minimal amounts of supervised training data for a transfer task .",abstract,abstract,text-classification,6,"['O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",7,0.7777777777777778,9,0.060810810810810814,7,0.7777777777777778,1,1,research-problem
11,We obtain encouraging results on Word Embedding Association Tests ( WEAT ) targeted at detecting model bias .,abstract,abstract,text-classification,6,,,,8,0.8888888888888888,10,0.06756756756756757,8,0.8888888888888888,1,0,
12,Our pre-trained sentence encoding models are made freely available for download and on TF Hub .,abstract,abstract,text-classification,6,,,,9,1.0,11,0.07432432432432433,9,1.0,1,0,
13,Introduction,,,text-classification,6,,,,0,0.0,12,0.08108108108108109,0,0.0,1,0,
14,Limited amounts of training data are available for many NLP tasks .,Introduction,Introduction,text-classification,6,,,,1,0.06666666666666667,13,0.08783783783783784,1,0.06666666666666667,1,0,
15,This presents a challenge for data hungry deep learning methods .,Introduction,Introduction,text-classification,6,,,,2,0.13333333333333333,14,0.0945945945945946,2,0.13333333333333333,1,0,
16,"Given the high cost of annotating supervised training data , very large training sets are usually not available for most research or industry NLP tasks .",Introduction,Introduction,text-classification,6,,,,3,0.2,15,0.10135135135135136,3,0.2,1,0,
17,Many models address the problem by implicitly performing limited transfer learning through the use of pre-trained word embeddings such as those produced by word2vec or Glo Ve .,Introduction,Introduction,text-classification,6,,,,4,0.26666666666666666,16,0.10810810810810811,4,0.26666666666666666,1,0,
18,"However , recent work has demonstrated strong transfer task performance using pre-trained sentence level embeddings .",Introduction,Introduction,text-classification,6,,,,5,0.3333333333333333,17,0.11486486486486487,5,0.3333333333333333,1,0,
19,"In this paper , we present two models for producing sentence embeddings that demonstrate good transfer to a number of other of other NLP tasks .",Introduction,Introduction,text-classification,6,,,,6,0.4,18,0.12162162162162163,6,0.4,1,0,
20,We include experiments with varying amounts of transfer task training data to illustrate the relationship between transfer task performance and training set size .,Introduction,Introduction,text-classification,6,,,,7,0.4666666666666667,19,0.12837837837837837,7,0.4666666666666667,1,0,
21,We find that our sentence embeddings can be used to obtain surprisingly good task performance with remarkably little task specific training data .,Introduction,Introduction,text-classification,6,,,,8,0.5333333333333333,20,0.13513513513513514,8,0.5333333333333333,1,0,
22,The sentence encoding models are made publicly available on TF Hub .,Introduction,Introduction,text-classification,6,,,,9,0.6,21,0.14189189189189189,9,0.6,1,0,
23,Engineering characteristics of models used for transfer learning are an important consideration .,Introduction,Introduction,text-classification,6,,,,10,0.6666666666666666,22,0.14864864864864866,10,0.6666666666666666,1,0,
24,We discuss modeling trade - offs regarding memory requirements as well as compute time on CPU and GPU .,Introduction,Introduction,text-classification,6,,,,11,0.7333333333333333,23,0.1554054054054054,11,0.7333333333333333,1,0,
