idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,offset1,pro1,offset2,pro2,offset3,pro3,mask,labels,title
2,Structural Scaffolds for Citation Intent Classification in Scientific Publications,title,title,Sentence_classification,0,"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I']","['O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n']",1,0.0,1,0.0037453183520599,1,0.0,1,1,title
5,"We propose structural scaffolds , a multitask model to incorporate structural information of scientific papers into citations for effective classification of citation intents .",abstract,abstract,Sentence_classification,0,,,2,0.4,4,0.0149812734082397,2,0.4,1,0,abstract
6,"Our model achieves a new state - of the - art on an existing ACL anthology dataset ( ACL - ARC ) with a 13.3 % absolute increase in F1 score , without relying on external linguistic resources or hand - engineered features as done in existing methods .",abstract,abstract,Sentence_classification,0,,,3,0.6,5,0.0187265917602996,3,0.6,1,0,abstract
7,"In addition , we introduce a new dataset of citation intents ( Sci - Cite ) which is more than five times larger and covers multiple scientific domains compared with existing datasets .",abstract,abstract,Sentence_classification,0,,,4,0.8,6,0.0224719101123595,4,0.8,1,0,abstract
8,Our code and data are available at : https://github.com/ allenai/scicite .,abstract,abstract,Sentence_classification,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'O']",5,1.0,7,0.0262172284644194,5,1.0,1,1,abstract
14,"Therefore , identifying the intent of citations ( is critical in improving automated analysis of academic literature and scientific impact measurement .",Introduction,The nature of citations can be different .,Sentence_classification,0,,,5,0.2777777777777778,13,0.048689138576779,5,0.2777777777777778,1,0,Introduction: The nature of citations can be different .
15,"Other applications of citation intent classification are enhanced research experience , information retrieval , summarization ( Co - .",Introduction,The nature of citations can be different .,Sentence_classification,0,,,6,0.3333333333333333,14,0.0524344569288389,6,0.3333333333333333,1,0,Introduction: The nature of citations can be different .
18,"Title : Gait asymmetry in patients with Parkinson 's disease and elderly fallers ... han and , and studying evolution of scientific fields .",Introduction,The nature of citations can be different .,Sentence_classification,0,,,9,0.5,17,0.0636704119850187,9,0.5,1,0,Introduction: The nature of citations can be different .
19,"In this work , we approach the problem of citation intent classification by modeling the language expressed in the citation context .",Introduction,The nature of citations can be different .,Sentence_classification,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10,0.5555555555555556,18,0.0674157303370786,10,0.5555555555555556,1,1,Introduction: The nature of citations can be different .
20,A citation context includes text spans in a citing paper describing a referenced work and has been shown to be the primary signal in intent classification .,Introduction,The nature of citations can be different .,Sentence_classification,0,,,11,0.6111111111111112,19,0.0711610486891385,11,0.6111111111111112,1,0,Introduction: The nature of citations can be different .
